Year,AverageClose
1999,34.580650838216144
2000,49.87713632886372
2001,23.91235033927425
2002,16.414407202175685
2003,14.478762161164056
2004,19.227269168884035
2005,19.356705741276816
2006,24.177595761667686
2007,25.67677779786615
2008,21.56824826628794
2009,15.644060668491182
2010,23.264896536630296
2011,29.60450872542366
2012,28.594535011291505
2013,33.46066940398443
2014,40.62129435463557
2015,39.60214298490494
2016,43.36996020967998
2017,59.32968129009839
2018,67.16936284707361
2019,75.21182537078857
2020,92.51434758906308
2021,144.65872979542567
2022,131.9966384182457
