Year,AvgClose,MinClose,MaxClose,AvgVolume
2003,14.478762161164056,8.190272331237793,20.91559410095215,3244672.003968254
2007,25.67677779786615,21.952789306640625,28.898426055908203,3521136.478087649
2018,67.16936284707361,61.130001068115234,74.81999969482422,2592049.402390438
2015,39.60214298490494,33.369998931884766,43.54999923706055,2560682.1428571427
2006,24.177595761667686,19.370529174804688,28.004291534423828,3877236.047808765
2022,131.9966384182457,112.70999908447266,156.9600067138672,1724239.4537815126
2013,33.46066940398443,28.984262466430664,41.409156799316406,4259568.968253968
2014,40.62129435463557,36.988555908203125,43.58369064331055,3011466.337301587
2019,75.21182537078857,63.27000045776367,85.44999694824219,2157035.714285714
2004,19.227269168884035,14.077253341674805,26.81688117980957,4267569.186507937
2020,92.51434758906308,63.369998931884766,119.30000305175781,1851855.3359683794
2012,28.594535011291505,25.400571823120117,32.80400466918945,4596178.312
2009,15.644060668491182,8.898426055908203,22.246065139770508,4986730.916666667
2016,43.36996020967998,34.79999923706055,48.439998626708984,2083069.0476190476
2001,23.91235033927425,13.490700721740723,48.32796859741211,3311147.8024193547
2005,19.356705741276816,14.59227466583252,25.736766815185547,4200650.492063492
2000,49.87713632886372,27.762876510620117,113.7339096069336,4238258.904761905
2010,23.264896536630296,19.291845321655273,29.985694885253906,4927461.793650794
2011,29.60450872542366,21.03004264831543,37.61087417602539,6060529.130952381
2008,21.56824826628794,10.643776893615723,27.110157012939453,4467737.229249012
2017,59.32968129009839,46.4900016784668,70.58999633789062,1850937.450199203
1999,34.580650838216144,28.612302780151367,56.68812561035156,5739996.933333334
2002,16.414407202175685,7.761086940765381,26.688125610351562,3700358.992063492
2021,144.65872979542567,114.98999786376953,179.27999877929688,1623303.1746031747
