2002,26.688125610351562,2002-03-15
2019,85.44999694824219,2019-12-26
2007,28.898426055908203,2007-07-12
2008,27.110157012939453,2008-06-19
2016,48.439998626708984,2016-08-15
2020,119.30000305175781,2020-12-18
2017,70.58999633789062,2017-11-28
2001,48.32796859741211,2001-01-18
2021,179.27999877929688,2021-09-03
2004,26.81688117980957,2004-02-17
2009,22.246065139770508,2009-12-30
1999,56.68812561035156,1999-12-30
2013,41.409156799316406,2013-12-18
2014,43.58369064331055,2014-01-22
2015,43.54999923706055,2015-04-10
2005,25.736766815185547,"2005-12-01, 2005-12-13"
2000,113.7339096069336,2000-03-06
2012,32.80400466918945,2012-03-15
2006,28.004291534423828,2006-05-05
2018,74.81999969482422,2018-01-26
2022,156.9600067138672,2022-11-25
2003,20.91559410095215,2003-12-31
2010,29.985694885253906,2010-12-27
2011,37.61087417602539,2011-05-13
